amount,type,latency,txn_count_last_30d,device_load,processing_decision
5170.97,Deposit,21,2,42.35847731855956,cloud
394.36,Withdrawal,9,0,10.964326867162777,edge
171.11,Payment,7,9,49.71018030891506,edge
295.88,Deposit,25,10,92.0740200798781,cloud
411.31,Deposit,17,2,23.21483974508395,edge
320.1,Deposit,8,0,12.629439029775137,edge
240.79,Payment,13,0,86.89174144896772,cloud
258.74,Transfer,32,0,45.77343763830069,edge
141.09,Withdrawal,39,0,45.554780182647335,edge
334.42,Transfer,14,1,70.27353879554107,edge
357.12,Withdrawal,7,6,34.09438639974548,edge
90.6,Payment,13,24,80.56189089809634,edge
372.78,Transfer,3,4,85.87695842388375,cloud
28.42,Payment,7,3,69.0944844897293,edge
3975.85,Payment,6,3,40.28118153818593,cloud
334.56,Transfer,29,0,19.941847666836992,edge
390.56,Transfer,24,5,25.581014587283974,edge
334.53,Payment,16,11,27.060740796348608,edge
468.05,Deposit,31,0,33.610967241809476,edge
12.79,Deposit,35,1,22.7957990330654,edge
2712.72,Transfer,26,23,29.65546647865549,edge
286.66,Payment,14,5,46.14017463731283,edge
321.41,Deposit,9,6,37.34097716441491,edge
7065.97,Payment,42,5,62.14292220595879,cloud
264.12,Payment,9,5,16.89990300538929,edge
470.94,Payment,44,24,65.91590614359555,edge
464.28,Withdrawal,19,2,45.33553111859083,edge
1615.69,Payment,9,1,84.49681759697697,edge
46.13,Deposit,7,9,66.37381897572905,edge
224.98,Deposit,23,1,45.546030150895426,edge
106.31,Transfer,18,4,48.816981684466455,edge
101.31,Withdrawal,4,2,31.49653852777738,edge
319.07,Payment,29,3,56.6720022139804,edge
358.3,Deposit,36,1,57.87522453830302,edge
3659.46,Payment,33,0,91.27878508142125,cloud
7800.0,Deposit,15,1,85.44616853381196,cloud
7440.22,Deposit,39,13,31.74800049885095,cloud
487.66,Transfer,3,12,54.59228949372831,edge
8605.91,Withdrawal,23,1,19.98952329796559,cloud
9869.8,Deposit,38,3,19.84095847943877,cloud
250.76,Withdrawal,10,9,54.55352723628258,edge
7933.12,Deposit,38,15,84.86292668360053,cloud
5238.44,Withdrawal,7,2,83.55381056092543,cloud
129.92,Deposit,32,3,83.37558646054144,edge
27.79,Transfer,10,0,77.09438468682906,edge
4034.93,Deposit,14,0,53.47203888480493,cloud
64.85,Withdrawal,9,8,71.00468510376979,flagged
158.55,Transfer,7,0,12.115127167734498,edge
3919.96,Transfer,23,4,62.32698068514277,cloud
7767.45,Deposit,28,8,55.00719288241201,cloud
1534.47,Withdrawal,24,2,92.12222793739815,cloud
192.93,Withdrawal,21,0,17.21926585107037,edge
88.79,Deposit,49,3,88.83879249635666,cloud
243.86,Withdrawal,50,1,34.74935980669751,edge
410.83,Payment,5,0,84.46888428734775,edge
171.03,Payment,22,15,52.966272085362014,edge
221.76,Deposit,8,1,26.91515489637713,edge
2722.45,Withdrawal,12,6,48.43598231280491,cloud
13.67,Withdrawal,2,1,31.700128522769695,edge
461.74,Payment,46,2,31.7130068183424,edge
352.22,Payment,20,1,62.55262587797203,edge
9495.68,Transfer,38,1,66.79138093612588,cloud
165.66,Payment,9,1,39.084470468877754,edge
4951.18,Withdrawal,11,9,63.84600789793544,cloud
256.12,Transfer,4,10,41.08035320796433,edge
1980.79,Payment,8,0,88.01506284281966,cloud
485.35,Deposit,23,9,26.09518773754132,edge
70.95,Deposit,5,6,31.911869617181466,edge
276.7,Deposit,10,6,94.10646546487426,cloud
445.74,Withdrawal,33,0,43.78030714821526,edge
210.71,Deposit,48,0,62.915491894004795,edge
354.74,Transfer,16,1,40.59150740858986,edge
322.19,Transfer,17,1,48.373812255582685,edge
373.98,Deposit,19,14,77.33511526048777,edge
4211.22,Transfer,36,2,35.094052661806586,cloud
404.82,Deposit,47,3,54.916716775480374,edge
7272.62,Deposit,16,4,51.60071164155638,cloud
169.1,Deposit,24,1,59.25616741358282,edge
161.73,Transfer,4,5,92.15987553116949,cloud
320.91,Transfer,23,2,55.66536093054641,edge
5616.84,Transfer,5,5,15.536299074018991,cloud
350.37,Payment,21,2,29.341653401661166,edge
285.26,Payment,26,3,35.30660941615969,edge
188.76,Payment,21,0,16.09347803374833,edge
485.29,Transfer,25,17,29.272018131719772,edge
14.08,Deposit,3,1,38.93237519706578,edge
6615.79,Deposit,32,2,57.47391191919384,cloud
481.74,Transfer,12,0,15.129951724129178,edge
383.2,Withdrawal,21,5,50.98218215470241,edge
5144.11,Payment,16,1,24.704720034447483,cloud
291.12,Transfer,18,0,66.48399835698874,edge
351.92,Withdrawal,10,12,74.5562904727899,edge
92.92,Payment,24,3,42.92440252143457,edge
2167.77,Deposit,14,11,93.44055716749135,cloud
9765.42,Deposit,8,2,60.92831844972783,cloud
4130.22,Transfer,28,11,86.00202242954884,cloud
3930.96,Withdrawal,13,5,70.69427259102383,cloud
382.12,Payment,24,16,73.94337079547978,edge
171.0,Payment,1,1,88.38658732520871,cloud
327.01,Deposit,6,30,52.237504986041664,edge
3867.81,Withdrawal,10,11,48.30022357806801,cloud
172.68,Payment,10,3,36.73803423315281,edge
423.43,Withdrawal,31,4,78.65494629984175,edge
4851.37,Payment,11,3,23.343383105341758,cloud
211.12,Withdrawal,10,12,69.0702982145699,edge
474.08,Payment,8,1,13.777782975339523,edge
4042.3,Payment,2,3,94.24600177575108,cloud
337.31,Payment,21,0,60.19928415273802,edge
479.18,Withdrawal,4,1,27.56355305312703,edge
6053.51,Withdrawal,8,15,25.336796092973145,cloud
242.36,Withdrawal,33,26,83.32414284505059,edge
7789.74,Deposit,1,8,12.53428151593786,cloud
268.45,Deposit,28,2,91.02371184160036,cloud
1009.49,Withdrawal,4,5,85.35882085793698,cloud
266.2,Transfer,19,4,11.84017943879377,edge
194.51,Payment,57,3,78.32673545967303,edge
4159.55,Payment,21,2,49.43875028029943,cloud
125.42,Deposit,65,3,23.09464911944296,edge
280.54,Withdrawal,15,3,93.70603809393846,cloud
67.37,Deposit,15,30,87.5318680206871,cloud
309.53,Withdrawal,25,1,84.505545149814,edge
423.15,Withdrawal,29,10,68.9230632299028,edge
1811.47,Deposit,44,0,83.85269938777016,edge
8339.82,Payment,21,1,31.901744586432624,cloud
351.05,Transfer,19,6,85.03648818273989,cloud
66.75,Payment,3,1,87.98065575963996,cloud
390.39,Payment,10,0,85.92368068399452,cloud
250.12,Payment,8,0,38.54295967802318,edge
3424.08,Payment,22,1,47.134577932794635,cloud
285.7,Transfer,11,0,60.927451017021255,edge
249.22,Deposit,13,1,20.795452641915666,edge
2342.34,Payment,8,4,47.38222781877137,edge
440.97,Deposit,11,0,12.502565933513274,edge
6924.1,Deposit,5,1,37.2193301865827,cloud
33.34,Transfer,64,0,49.43475304597664,edge
177.44,Transfer,15,2,24.04045916607289,edge
261.32,Deposit,29,6,69.06815425602949,edge
85.82,Transfer,14,1,63.50150392655817,edge
280.16,Deposit,8,1,71.52051050541826,edge
355.22,Deposit,14,1,18.007892695869355,edge
276.1,Withdrawal,4,1,55.30692186219952,edge
217.76,Withdrawal,13,3,27.96106505187975,edge
291.21,Payment,18,0,43.94961647616868,edge
806.48,Withdrawal,15,3,71.13139841605135,edge
388.13,Payment,2,10,32.95898628523113,edge
496.97,Transfer,15,2,28.975860917043242,edge
470.02,Transfer,10,4,33.10262541057175,edge
70.96,Transfer,23,2,42.738233228882216,edge
5670.82,Deposit,72,5,70.8023808822849,cloud
454.05,Transfer,43,1,46.75211333068423,edge
232.78,Transfer,43,1,63.4333722083886,edge
99.15,Transfer,17,1,47.74319934334238,edge
233.25,Transfer,25,4,69.36999634128702,edge
300.64,Withdrawal,18,7,56.12288022778598,edge
8802.11,Deposit,7,8,54.22431273893804,cloud
259.47,Deposit,10,6,85.27706759001514,cloud
477.36,Transfer,17,22,47.42795138943747,edge
196.04,Payment,9,20,59.100688040082275,edge
147.06,Transfer,22,12,41.159877981837965,edge
5322.87,Transfer,8,0,38.03594554937453,cloud
390.72,Withdrawal,11,2,68.20076217044434,edge
9476.4,Payment,30,1,68.78633299780984,cloud
440.05,Withdrawal,9,12,93.54410925987052,cloud
3402.04,Withdrawal,34,4,17.86587472253477,cloud
3007.85,Deposit,6,6,27.548310597651465,cloud
433.33,Payment,73,3,78.88525843420673,edge
402.67,Withdrawal,24,1,60.67877526915194,edge
441.51,Deposit,61,3,31.483518059463975,edge
411.0,Payment,49,11,48.9601437115434,edge
28.53,Deposit,57,11,42.746621726765206,edge
177.66,Transfer,5,4,89.04402603152928,cloud
8771.57,Transfer,9,1,13.929055825628726,cloud
469.52,Withdrawal,13,0,44.4615871968473,edge
362.03,Transfer,29,2,76.78998165583555,edge
358.76,Payment,1,5,11.233123372191496,edge
8378.06,Deposit,5,0,88.84425549866764,cloud
163.36,Transfer,8,7,21.047864520887607,edge
486.31,Payment,2,0,48.14018940178623,edge
7733.18,Payment,15,3,36.200852612827276,cloud
5548.62,Withdrawal,12,7,38.89750219998138,cloud
60.94,Payment,4,5,64.88939410398682,edge
3181.36,Withdrawal,16,15,81.33054634701624,cloud
345.66,Payment,1,3,37.60483255499409,edge
15.81,Withdrawal,23,1,39.57628537600578,edge
2512.7,Transfer,28,7,26.52057514607522,edge
60.26,Deposit,38,2,49.87462811647613,edge
337.3,Transfer,6,4,23.251073014945923,edge
165.85,Withdrawal,20,6,79.41722828577645,edge
61.96,Withdrawal,32,2,22.96960620184049,edge
493.67,Transfer,23,2,52.240516037303415,edge
446.5,Transfer,21,13,82.91894283771582,edge
6807.72,Payment,14,12,80.48111771327906,cloud
71.39,Deposit,11,1,52.48619564418436,edge
463.86,Transfer,8,3,76.89303957904873,edge
70.09,Payment,17,2,83.25006744820601,edge
8887.11,Payment,37,1,23.161588793316724,cloud
14.82,Deposit,48,0,69.21104201690561,edge
1790.9,Payment,11,19,32.73043274143505,edge
307.62,Transfer,36,11,64.25001162838035,edge
417.3,Deposit,4,0,27.372795822966463,edge
4250.47,Withdrawal,40,15,21.756562590590214,cloud
2066.73,Withdrawal,4,13,86.39854878322521,cloud
3532.58,Transfer,26,1,56.5390526063974,cloud
390.24,Withdrawal,12,9,16.93213162642694,edge
111.52,Payment,10,1,79.37683657377639,edge
178.86,Deposit,6,0,64.30680432107926,edge
12.26,Transfer,21,2,74.65992055938925,edge
33.6,Transfer,17,3,37.091206277408645,edge
407.1,Transfer,8,2,29.805056271632377,edge
4640.48,Transfer,5,2,74.15526873499208,cloud
231.3,Deposit,21,1,16.02299170339959,edge
54.55,Payment,10,0,66.39918681554886,edge
425.59,Transfer,15,8,60.46888324005024,edge
9422.93,Deposit,29,3,83.35071824106018,cloud
291.93,Withdrawal,16,4,35.805990250933505,edge
491.13,Payment,20,0,73.89758691577447,edge
489.4,Deposit,26,7,87.17310015879812,cloud
444.0,Withdrawal,15,2,11.393252899749907,edge
6151.34,Deposit,45,1,87.49463202267991,cloud
8695.99,Transfer,24,6,72.70996258575059,cloud
6430.53,Deposit,3,1,27.79443687767708,cloud
390.42,Payment,3,3,50.972969461338714,edge
2450.77,Withdrawal,9,1,76.52697223282718,cloud
278.74,Deposit,15,1,94.61454716730955,cloud
361.37,Transfer,14,0,59.98046401578347,edge
316.36,Deposit,24,9,19.078968058565877,edge
427.26,Payment,56,17,85.07357818064281,cloud
425.92,Withdrawal,49,10,65.86497357775026,edge
7477.55,Payment,17,14,66.52845843926148,cloud
2493.15,Withdrawal,39,4,82.41550797780089,cloud
178.73,Withdrawal,49,5,18.623788802406157,edge
317.9,Deposit,18,0,74.64096132888002,edge
113.96,Payment,15,14,41.96525410174269,edge
87.07,Payment,3,0,14.121280442683144,edge
282.96,Deposit,18,9,10.607218919692192,edge
256.46,Payment,29,1,67.50073198720324,edge
356.88,Payment,5,0,72.72439494768888,edge
347.68,Withdrawal,22,0,54.29575565839622,edge
263.46,Payment,9,0,38.50297534721041,edge
410.91,Deposit,21,2,42.453502100768894,edge
232.44,Transfer,13,2,59.99969899078687,edge
258.59,Transfer,20,3,83.16456172462212,edge
310.26,Transfer,37,2,18.767737788459247,edge
229.13,Payment,20,2,51.951322435851516,edge
12.31,Payment,7,2,51.33953257306177,edge
502.71,Withdrawal,78,0,89.796639196402,cloud
176.9,Transfer,25,0,85.1273536066003,cloud
440.52,Deposit,22,1,63.990579743610915,flagged
13.77,Withdrawal,12,10,86.43322748869772,cloud
4675.53,Payment,4,1,56.650074149595085,cloud
57.83,Payment,26,2,12.80579828849162,edge
4211.33,Withdrawal,23,0,26.11760251627916,cloud
187.34,Transfer,10,8,32.9779581847881,edge
395.14,Deposit,11,3,27.677493593843835,edge
37.66,Withdrawal,11,5,16.70583864963413,edge
6079.0,Withdrawal,15,3,18.046645697813577,cloud
122.96,Deposit,41,8,73.60867793326258,edge
323.56,Payment,13,4,53.22782783730258,edge
90.95,Withdrawal,13,1,57.58597826402595,edge
3273.97,Payment,28,0,20.3930515895899,cloud
433.43,Transfer,31,9,39.7991000882088,edge
151.21,Payment,23,12,62.351889557654744,edge
235.2,Withdrawal,5,1,70.5237994744021,edge
233.41,Payment,9,5,73.15990661257945,edge
173.87,Transfer,37,10,78.13290869922054,edge
444.87,Deposit,7,1,21.180715606397058,edge
401.76,Deposit,8,1,12.801882158546672,edge
63.21,Deposit,3,6,39.54811485095614,edge
331.15,Payment,16,7,81.21640884807596,edge
461.64,Payment,61,7,77.17389010248279,edge
6833.55,Transfer,10,4,13.023656614679208,cloud
252.18,Withdrawal,14,0,72.44567442825448,edge
481.93,Payment,13,11,37.36364895813272,edge
815.14,Payment,48,0,79.03243764926653,edge
2954.37,Transfer,22,0,17.305700137273988,edge
9102.7,Withdrawal,38,1,69.34736775187675,cloud
4393.69,Payment,2,1,76.1201755035771,cloud
241.49,Deposit,15,16,77.23999969917703,edge
498.07,Deposit,25,20,23.81686921661951,edge
42.83,Payment,10,12,90.59234185801586,cloud
56.91,Withdrawal,6,1,57.761121752764595,edge
121.21,Deposit,53,0,89.64771577663505,cloud
488.17,Payment,19,4,62.35615756831631,edge
51.98,Payment,17,3,75.42767373070711,edge
12.13,Deposit,24,9,74.70479197311604,edge
283.93,Transfer,6,1,35.15733728664995,edge
334.62,Withdrawal,5,2,42.53791083564147,edge
321.22,Withdrawal,6,12,67.01541937789702,edge
3045.16,Transfer,18,7,93.43796192099019,cloud
146.21,Withdrawal,17,0,16.148786239092644,edge
102.35,Withdrawal,32,0,73.34790601404498,edge
110.26,Transfer,13,1,90.23830338049856,cloud
373.78,Transfer,11,1,74.01822769346622,edge
1686.68,Transfer,4,0,11.605655391694356,edge
130.83,Transfer,13,34,47.698090381071474,edge
190.7,Withdrawal,31,2,84.90740417172692,edge
215.55,Transfer,40,4,46.186230179733,edge
223.2,Payment,18,2,62.637042419687745,edge
180.78,Deposit,8,4,39.16078665671415,edge
162.74,Payment,27,2,36.52412519171755,edge
223.24,Transfer,1,0,37.355371078719344,edge
477.26,Payment,60,13,60.66524484409059,edge
141.76,Transfer,18,0,66.36418523716348,edge
481.83,Withdrawal,3,5,19.930185856518072,edge
169.55,Withdrawal,25,0,11.909043459206503,edge
359.82,Transfer,23,0,13.357401235489705,edge
321.83,Deposit,35,9,71.5485555317295,edge
450.14,Transfer,25,0,88.03338309619753,cloud
677.64,Deposit,55,4,25.037385597754707,edge
430.51,Payment,44,1,92.5164876246062,cloud
37.35,Withdrawal,8,11,81.183745284566,edge
151.93,Transfer,10,3,62.88100260944075,edge
241.65,Deposit,24,1,63.55625177386206,edge
970.99,Withdrawal,15,0,55.8082319620993,edge
443.44,Payment,11,3,35.901421856129716,edge
8701.03,Withdrawal,27,0,72.47871788659961,cloud
109.1,Payment,22,1,44.16909987222924,edge
151.04,Transfer,4,2,81.78279101967993,edge
175.76,Withdrawal,15,4,70.36540633352203,edge
211.49,Withdrawal,6,2,68.89693656524695,edge
71.19,Transfer,16,2,66.1034925508572,edge
282.6,Deposit,15,0,13.340238560240202,edge
105.43,Payment,20,3,72.33997076440468,edge
51.49,Withdrawal,1,0,84.4637183703193,edge
398.18,Payment,13,1,24.922801332975915,edge
18.19,Payment,6,5,60.566848665262675,edge
354.38,Payment,32,16,85.62657591274747,cloud
317.35,Transfer,15,7,92.18420052641795,cloud
8531.08,Payment,15,1,82.73930522607229,cloud
7484.67,Transfer,17,3,60.81530647517504,cloud
6908.61,Deposit,3,1,12.455240462272098,cloud
86.51,Payment,28,25,64.95600299678782,edge
342.14,Withdrawal,27,0,66.98461977802536,edge
183.4,Payment,8,2,75.2969643471252,edge
390.8,Transfer,6,4,78.3053497037869,edge
116.83,Withdrawal,10,6,84.26738973178995,edge
182.79,Transfer,9,5,44.57915189603317,edge
3061.34,Withdrawal,21,8,19.40057936861375,cloud
368.9,Withdrawal,13,21,75.41183808533066,edge
456.94,Payment,7,2,39.547657809963866,edge
73.47,Withdrawal,15,7,22.821253155159752,edge
426.69,Transfer,7,2,86.17796165900887,cloud
718.17,Payment,20,2,47.5875347117486,edge
6482.03,Deposit,27,23,37.76999409749794,edge
423.64,Withdrawal,6,15,64.19659986614232,edge
37.53,Payment,13,1,27.60970059125446,edge
413.58,Transfer,11,4,19.29945955993456,edge
80.61,Transfer,8,9,70.84759891399878,edge
359.94,Deposit,7,10,82.53784175145923,edge
6484.06,Transfer,6,6,21.593594501598698,cloud
122.21,Withdrawal,9,1,45.194947320740425,edge
5263.44,Withdrawal,7,9,83.70806489498835,cloud
90.84,Transfer,22,14,37.992872384495946,edge
187.99,Payment,8,22,49.16977774477841,edge
9911.43,Payment,5,1,90.49701066837291,cloud
98.86,Payment,3,8,80.85363928516666,edge
5162.29,Transfer,5,5,25.672741603748335,cloud
446.59,Deposit,3,2,76.79463114282518,edge
85.15,Transfer,18,8,41.286276501831985,edge
268.08,Payment,8,7,11.235181739462456,edge
780.35,Deposit,13,9,77.72332704133302,edge
495.76,Payment,8,4,29.05877543514848,edge
24.28,Transfer,6,3,93.67174774357204,cloud
189.88,Transfer,8,2,25.95300626775463,edge
424.66,Transfer,25,3,68.4116195319362,edge
461.6,Deposit,3,0,94.94275973515073,cloud
242.76,Deposit,16,0,88.47867402072227,cloud
19.0,Deposit,25,5,10.556471501676437,edge
278.54,Transfer,14,1,66.0248806572373,edge
61.19,Payment,33,6,83.75153202362505,edge
426.73,Withdrawal,17,12,87.92681474414134,cloud
349.81,Withdrawal,29,8,11.202077286918268,edge
1296.22,Payment,88,9,72.28191403989658,cloud
250.02,Transfer,22,0,60.438763154934556,edge
754.03,Transfer,12,4,32.38611431705039,edge
7473.97,Deposit,12,6,40.35977882185318,cloud
8777.03,Withdrawal,18,9,85.77944012347493,cloud
2932.03,Payment,8,1,68.57875194219653,edge
3091.41,Transfer,12,6,68.69833384469072,cloud
7807.63,Payment,21,11,64.26397111364086,cloud
192.34,Transfer,29,5,67.38724543610857,edge
360.99,Withdrawal,24,6,62.62005470292337,edge
9492.77,Transfer,14,0,75.62696180009716,cloud
7637.92,Deposit,38,1,85.39996702603051,cloud
8737.53,Withdrawal,16,2,18.7505610458948,cloud
24.51,Payment,20,8,80.55314265769879,edge
355.4,Withdrawal,22,0,34.30498826106434,edge
274.28,Withdrawal,16,7,12.679662243557965,edge
55.97,Deposit,14,0,23.370279796614156,edge
2435.52,Deposit,1,14,33.84048945850424,edge
249.0,Withdrawal,31,1,77.8740410255127,edge
1836.1,Deposit,27,19,62.05804318213108,edge
332.02,Transfer,73,2,61.6869870842229,edge
3519.51,Transfer,12,0,16.33126783227069,cloud
175.82,Withdrawal,13,0,42.30300888949467,edge
301.99,Withdrawal,55,2,50.36168290565414,edge
354.36,Payment,12,3,91.56857226323072,cloud
8750.64,Withdrawal,19,10,88.22533688269225,cloud
9946.62,Withdrawal,15,1,60.13248259286523,cloud
423.28,Transfer,17,5,54.37470102882179,edge
341.86,Withdrawal,9,9,25.54424804536364,edge
64.47,Withdrawal,21,3,63.5225934704896,edge
46.76,Withdrawal,19,0,16.61196624807161,edge
215.47,Deposit,15,0,19.478768194484076,edge
21.26,Deposit,32,3,20.845475027204095,edge
423.58,Payment,27,0,72.26823847542508,edge
7061.01,Transfer,10,8,45.79787631594319,cloud
1213.67,Withdrawal,28,1,26.232183907887723,cloud
2504.64,Transfer,26,8,14.251330099374487,edge
5067.7,Withdrawal,23,3,87.38133769096443,cloud
36.36,Payment,33,1,16.72237500414935,edge
301.29,Withdrawal,11,9,79.61554352102426,edge
300.94,Payment,26,2,84.51319759056979,edge
5279.76,Deposit,22,0,85.60111239328663,cloud
437.31,Payment,17,1,41.90524003626636,edge
8754.78,Withdrawal,8,9,10.75185246756595,cloud
369.91,Transfer,2,11,62.65240293690471,edge
2216.62,Withdrawal,4,0,94.84979175810847,cloud
364.83,Payment,3,0,52.95486552604898,edge
205.53,Transfer,6,1,62.0444982616605,edge
320.02,Withdrawal,44,0,64.64416732664637,edge
6526.98,Deposit,5,3,49.14809080037746,cloud
6333.94,Deposit,6,4,48.9145529667403,cloud
284.28,Payment,17,4,66.50981261423811,edge
286.29,Deposit,2,1,92.58802173523488,cloud
3826.62,Withdrawal,18,0,28.323787183818286,cloud
2857.25,Deposit,17,2,44.49625879622157,edge
8695.47,Withdrawal,13,4,56.82419216515298,cloud
1331.32,Withdrawal,7,3,69.4022096213524,cloud
3210.8,Transfer,20,1,49.283964032565564,cloud
125.15,Payment,4,1,88.29814326694255,cloud
9990.29,Deposit,11,4,62.38435701473298,cloud
248.91,Payment,48,15,41.98438796821047,edge
3262.47,Withdrawal,2,13,84.64740783759633,cloud
6769.69,Withdrawal,8,8,64.39024412300057,cloud
98.82,Withdrawal,39,3,70.4202899021436,edge
353.01,Withdrawal,2,3,17.476278475622927,edge
7954.1,Deposit,10,2,66.73666267080026,cloud
4198.23,Deposit,14,5,58.89313199127478,cloud
1539.35,Withdrawal,23,1,46.19748101197386,cloud
4713.32,Payment,50,12,53.583868864631434,cloud
2544.32,Payment,26,2,92.5995757203799,cloud
155.15,Payment,8,3,22.683919823149033,edge
6281.51,Payment,4,4,18.671859074751634,cloud
176.12,Withdrawal,15,2,90.19963678660055,cloud
262.96,Payment,10,5,81.77903585177563,edge
254.71,Payment,14,1,63.81486651371443,edge
321.8,Withdrawal,8,0,14.113121116176849,edge
127.02,Withdrawal,30,4,64.88319100931218,edge
361.44,Transfer,17,0,27.69431032334294,edge
5856.77,Transfer,22,6,20.342343677932327,cloud
467.5,Transfer,11,4,17.56503917386874,edge
9009.26,Payment,8,0,23.551311621708344,cloud
146.91,Transfer,72,1,64.86959467456653,edge
97.93,Payment,20,4,17.07327188509955,edge
438.41,Withdrawal,2,8,15.804226206579973,edge
97.01,Deposit,17,1,88.49304239190332,cloud
